query,entail,conflict,query_atoms,entail_atoms,conflict_atoms,negs_sourse_atoms
The Consultant retains full and exclusive ownership of all intellectual property rights in the deliverables created under this Agreement.,The Consultant keeps total and sole ownership of all IP rights for the work made under this contract.,All Work Product shall be considered 'work made for hire' and shall be the sole and exclusive property of the Company.,['The Consultant retains full and exclusive ownership of all intellectual property rights in the deliverables created under this Agreement.'],['The Consultant keeps total and sole ownership of all IP rights for the work made under this contract.'],"[""All Work Product shall be considered 'work made for hire' and shall be the sole and exclusive property of the Company.""]","[['The Consultant does not retain IP ownership.', 'Deliverables are the property of the Company.', ""Work Product is 'work made for hire'.""]]"
"Exhibit 10.1
EXECUTIVE EMPLOYMENT AGREEMENT
This Executive Employment Agreement (the “Agreement”) is made and entered into
as of August 16, 2018 (the “Effective Date”), by and between Gregg Budoi (the
“Executive”) and McorpCX, Inc. (the “Company” and together with the Executive,
the “Parties”).
The Company desires the employment of the Executive with the Company and
Executive desires to engage in such employment relationship, on the basis of the
mutual covenants set forth in this Agreement, and other good and valuable
consideration, the receipt and sufficiency of which are hereby acknowledged, the
parties agree as follows:","This Executive Employment Agreement is effective as of August 16, 2018, between McorpCX, Inc. ('Company') and Gregg Budoi ('Executive'). The parties agree to the employment relationship based on the mutual covenants herein.","This Independent Contractor Agreement is effective as of January 1, 1999, between Google Inc. and John Doe. The parties refuse any employment relationship and reject all covenants.","['This is an Executive Employment Agreement.', 'The Agreement is made and entered into as of August 16, 2018.', 'The Parties are Gregg Budoi (the “Executive”) and McorpCX, Inc. (the “Company”).', 'The Company desires the employment of the Executive.', 'Executive desires to engage in such employment relationship.', 'The parties agree on the basis of mutual covenants.']","['Agreement is an Executive Employment Agreement effective August 16, 2018.', 'Parties are McorpCX, Inc. and Gregg Budoi.', 'Parties agree to the employment based on covenants.']","['This is an Independent Contractor Agreement.', 'The effective date is January 1, 1999.', 'Parties are Google Inc. and John Doe.', 'Parties refuse any employment relationship.']","[['This is a Termination Agreement.', 'This is a Non-Disclosure Agreement.', 'This is a Merger Agreement.'], ['The Agreement is dated in the future.', 'The Agreement is undated.', 'The Agreement is dated 1900.'], ['The Parties are Apple and Microsoft.', 'The Executive is the janitor.', 'The Company is a shell corporation.'], ['The Company rejects the employment.', 'The Company fires the Executive.', 'The Company desires a volunteer.'], ['Executive refuses the employment.', 'Executive desires to retire.', 'Executive desires to be a consultant.'], ['The parties disagree on all terms.', 'There are no covenants.', 'The agreement is unilateral.']]"
"To minimize travel expenses, the parties agree that any arbitration proceedings shall be conducted solely in the city where the Respondent resides.","To save money, the legal fight happens wherever the person being sued lives.","All arbitration proceedings arising under this Agreement shall be held exclusively in London, England, regardless of the residence of the parties.",['Arbitration proceedings shall be conducted in the city where the Respondent resides.'],['Fight where defendant lives.'],"['Arbitration shall be held exclusively in London, England.']","[['Arbitration shall not be conducted where the Respondent resides.', 'Venue is fixed elsewhere.', 'Residence does not determine venue.']]"
Appellant Ferreira-Alameda explicitly reserved his right to a jury trial and refused to sign any waiver regarding the admission of co-defendant testimony.,The appellant Ferreira-Alameda made it clear he wanted a jury trial and would not sign any paper giving up his rights or letting in the other defendants' testimony.,Ferreira-Alameda knowingly and voluntarily waived his right to a jury trial and stipulated to the admission of his co-defendants' testimony.,"['Appellant Ferreira-Alameda explicitly reserved his right to a jury trial.', 'He refused to sign any waiver regarding co-defendant testimony.']","['Ferreira-Alameda expressly kept his right to a jury trial.', 'He refused to sign the waiver documents.']","['Ferreira-Alameda knowingly and voluntarily waived his right to a jury trial.', ""He stipulated to the admission of co-defendants' testimony.""]","[['Ferreira-Alameda did not reserve his right to a jury trial.', 'He waived the jury trial right.', 'The reservation of rights claim is false.'], ['He did not refuse to sign the waiver.', 'He stipulated to the admission of testimony.', 'The waiver was signed and voluntary.']]"
"Upon confirming an infected person in the station, the Station Master notifies all posts to wear protective equipment, carries communication tools to the scene to locate the person, and takes isolation measures.","If an infection is confirmed, the Station Master must ensure staff wear PPE, proceed to the scene with comms gear, and isolate the individual.","When an infected person is confirmed, the Station Master must instruct staff to remove protective equipment and avoid going to the scene to locate the person.","[""Upon confirming an infected person in the station, the Station Master notifies all posts to wear protective equipment."", ""The Station Master carries communication tools to the scene to locate the person."", ""The Station Master takes isolation measures.""]","[""If an infection is confirmed, the Station Master must ensure staff wear PPE."", ""The Station Master must proceed to the scene with comms gear."", ""The Station Master must isolate the individual.""]","[""When an infected person is confirmed, the Station Master must instruct staff to remove protective equipment."", ""The Station Master must avoid going to the scene to locate the person.""]","[[""The Station Master forbids the use of protective equipment upon confirming an infected person."", ""The Station Master fails to notify any posts about wearing protective equipment."", ""Staff are instructed to work without protective equipment by the Station Master.""], [""The Station Master remains in the office and does not go to the scene."", ""The Station Master leaves communication tools behind when going to the scene."", ""The Station Master avoids locating the person.""], [""The Station Master allows the infected person to roam freely."", ""No isolation measures are taken by the Station Master."", ""The Station Master prohibits the isolation of the infected person.""]]"
"Exhibit 10.3
FIRST AMENDMENT
TO
AGREEMENT
This First Amendment to Agreement (this “Amendment”), is made as of May 10,
2019, by and between MOBIQUITY TECHNOLOGIES, INC., a New York corporation
(“Mobiquity”), and GOPHER PROTOCOL INC., a Nevada corporation (“Gopher”).
Mobiquity and Gopher are parties to an Agreement, dated as of August 29, 2018
(the “Agreement”). Capitalized terms used in this Amendment and not otherwise
defined shall have the meanings ascribed to such terms in the Agreement.
RECITALS
WHEREAS, pursuant to the terms of the Agreement, Mobiquity issued to Gopher
1,000 shares of Mobiquity’s AAAA Preferred Stock (the “Preferred Stock”), which","""Affiliate"" carries the definition assigned to it in Rule 12b-2 under the Exchange Act. The term ""Agreement"" refers to this specific Amended and Restated Stockholders’ Agreement, incorporating all its Exhibits and Schedules, as they may be amended from time to time.","""Affiliate"" has no definition and is unrelated to Rule 12b-2 under the Exchange Act. The term ""Agreement"" refers to a completely different document, specifically the Original Stockholders’ Agreement, excluding all Exhibits and Schedules, and forbidding any amendments from time to time.","['""Affiliate"" has the meaning set forth in Rule 12b-2 under the Exchange Act.', '""Agreement"" means this Amended and Restated Stockholders’ Agreement.', 'The Agreement includes all Exhibits and Schedules hereto.', 'The Agreement includes amendments made from time to time.']","['""Affiliate"" is defined by Rule 12b-2 under the Exchange Act.', '""Agreement"" refers to this Amended and Restated Stockholders’ Agreement.', 'It incorporates all Exhibits and Schedules.', 'It incorporates future amendments.']","['""Affiliate"" has no definition.', 'It is unrelated to Rule 12b-2.', '""Agreement"" refers to the Original Stockholders’ Agreement.', 'It excludes all Exhibits and Schedules.', 'It forbids any amendments.']","[['""Affiliate"" does NOT have the meaning in Rule 12b-2.', 'It means a family member.', 'It is undefined.'], ['""Agreement"" does NOT mean this Amended and Restated Stockholders’ Agreement.', 'It means the Merger Agreement.', 'It means the Bylaws.'], ['The Agreement does NOT include Exhibits and Schedules.', 'Exhibits are separate.', 'Schedules are void.'], ['The Agreement does NOT include amendments.', 'Amendments are prohibited.', 'The Agreement is static.']]"
The Board shall consist of a minimum of fifteen directors.,There have to be at least 15 people on the board.,The Board need not consist of fifteen directors and shall have no more than seven.,['The Board shall consist of a minimum of fifteen directors.'],['At least 15 directors.'],"['The Board need not consist of fifteen directors.', 'Maximum seven directors.']","[['The Board need not consist of fifteen directors.', 'Fifteen is not the minimum number.', 'The director count requirement is not fifteen.']]"
"A Level III response is triggered if a vertical elevator traps people for 30 minutes or more but less than 1 hour, or if all escalators in a single station malfunction.",The failure of every escalator in one station or an elevator entrapment lasting 30 to 59 minutes results in a Level III response.,A Level III response is triggered if an elevator traps people for 5 hours or if a single escalator in a station malfunctions.,"[""A Level III response is triggered if a vertical elevator traps people for 30 minutes or more but less than 1 hour."", ""A Level III response is triggered if all escalators in a single station malfunction.""]","[""An elevator entrapment lasting 30 to 59 minutes results in a Level III response."", ""The failure of every escalator in one station results in a Level III response.""]","[""A Level III response is triggered if an elevator traps people for 5 hours."", ""A Level III response is triggered if a single escalator in a station malfunctions.""]","[[""A Level III response is triggered if an elevator traps people for less than 1 minute."", ""A Level III response is triggered if an elevator traps people for more than 10 days."", ""A Level III response is triggered if an elevator is empty.""], [""A Level III response is triggered if only one escalator malfunctions."", ""A Level III response is triggered if no escalators malfunction."", ""A Level III response is triggered if escalators are working perfectly.""]]"
Late returns incur a daily fine of $1.,You pay a dollar a day for late books.,Late returns do not incur a daily fine.,"['No fines.', 'Returns are free.', 'Late fees are waived.']",['Late returns incur a daily fine of $1.'],['You pay a dollar a day for late books.'],[['Late returns do not incur a daily fine.']]
Employees must disclose any outside employment.,You have to tell the company if you have another job.,Employees need not disclose outside employment.,"['Disclosure is not required.', 'Outside jobs can be kept secret.', 'No need to report other work.']",['Employees must disclose any outside employment.'],['You have to tell the company if you have another job.'],[['Employees need not disclose outside employment.']]
