col1_query_en,col2_conflict_en,col3_entail1_en,col4_entail2_en,col5_entail3_en,col6_query_atoms,col7_conflict_atoms,col8_entail1_atoms,col9_entail2_atoms,col10_entail3_atoms,col11_query_negations
"After the station confirms a communication equipment failure, it shall report to the traffic dispatcher immediately.","When the station discovers a communication equipment failure, the station duty master should first verify the scope of the fault's impact on-site and form a preliminary report within 10 minutes before reporting to the traffic dispatcher.","After the station confirms a communication equipment failure, it shall report to the traffic dispatcher immediately.","After maintenance personnel confirm a communication equipment failure, they shall report to the maintenance unit's production/maintenance dispatcher immediately, and the maintenance unit's production/maintenance dispatcher shall report to the traffic dispatcher.","After the depot confirms a communication equipment failure, it shall contact the production/maintenance dispatcher immediately.","['The station confirms a communication equipment failure.', 'The station reports to the traffic dispatcher immediately.']","['The station discovers a communication equipment failure.', 'The station duty master verifies the impact scope on-site first.', 'A preliminary report is formed within 10 minutes.', 'The report is made to the traffic dispatcher only after these steps.']","['The station confirms a communication equipment failure.', 'The station reports to the traffic dispatcher immediately.']","['Maintenance personnel confirm a communication equipment failure.', ""Maintenance personnel report to the maintenance unit's dispatcher immediately."", ""The maintenance unit's dispatcher reports to the traffic dispatcher.""]","['The depot confirms a communication equipment failure.', 'The depot contacts the production/maintenance dispatcher immediately.']","[['The station is **not authorized** to confirm communication equipment failures independently; this must be done by the maintenance team.', 'The station confirms **power supply failures** rather than communication equipment failures in this context.', 'Communication equipment failures are confirmed by the **passengers** via the intercom system, not the station staff.'], ['The station must **wait for on-site verification** by the station master before reporting, rather than reporting immediately.', 'The station reports to the **maintenance dispatcher** first, delaying the report to the traffic dispatcher until later.', 'Immediate reporting is **prohibited**; a written preliminary report must be completed within 10 minutes first.']]"
Maintenance units' emergency materials should be stored in locations convenient for loading and unloading to facilitate rapid emergency repairs when an emergency occurs.,"Critical emergency materials must be centrally stored in dedicated warehouses, implemented with dual-person dual-lock management, and activation requires joint approval from the work area head and the safety administrator to ensure inventory consistency and anti-theft security.",Maintenance units' emergency materials should be stored in locations convenient for loading and unloading to facilitate rapid emergency repairs when an emergency occurs.,"Due to special needs, the on-site commander coordinates with other departments and stations to deploy emergency rescue materials as required. Emergency rescue materials should be replenished immediately after use, and emergency communication equipment should be charged immediately after use.",Maintenance units need to establish professional emergency rescue teams according to the 'Comprehensive Emergency Plan for Operational Emergencies' and reasonably arrange emergency rescue station points.,"[""Maintenance units' emergency materials should be stored in locations convenient for loading and unloading."", 'The purpose is to facilitate rapid emergency repairs when an emergency occurs.']","['Critical emergency materials must be centrally stored in dedicated warehouses.', 'These materials are managed with a dual-person dual-lock system.', 'Activation requires joint approval from the work area head and the safety administrator.', 'The purpose is to ensure inventory consistency and anti-theft security.']","[""Maintenance units' emergency materials should be stored in locations convenient for loading and unloading."", 'The purpose is to facilitate rapid emergency repairs when an emergency occurs.']","['The on-site commander coordinates the deployment of emergency rescue materials based on needs.', 'Coordination involves other departments and various stations.', 'Emergency rescue materials must be replenished immediately after use.', 'Emergency communication equipment must be charged immediately after use.']","['Maintenance units must establish professional emergency rescue teams.', ""Teams are established according to the 'Comprehensive Emergency Plan for Operational Emergencies'."", 'Maintenance units must reasonably arrange emergency rescue station points.']","[['Emergency materials must be **centrally stored in dedicated warehouses** rather than at convenient loading locations.', 'Storage protocols require **dual-person dual-lock management**, prohibiting storage in open, convenient areas.', 'Materials must be kept in **high-security zones** to prevent theft, prioritizing security over loading convenience.'], ['The primary goal of storage is to ensure **inventory consistency and anti-theft security**, not rapid repair speed.', 'Access protocols prioritize **approval by the work area head and safety administrator** over rapid emergency response.', 'The system is designed for **strict accountability** rather than facilitating immediate, unrestricted rapid repair.']]"
"Within the jurisdiction of the Operating Branch, the continuous occurrence of 6 or more persons with suspected infectious disease epidemic symptoms in the same time period and the same space belongs to a Level I response.","When the number of persons with suspected infectious disease epidemic symptoms in the same incident reaches 10 or more, a Level I response is activated; when it is 6-9 persons, a Level II response is activated, and the department head handles it first.","Within the jurisdiction of the Operating Branch, the continuous occurrence of 6 or more persons with suspected infectious disease epidemic symptoms in the same time period and the same space belongs to a Level I response.","Upon receiving a notification from a superior that there has been a suspected infectious disease epidemic phenomenon in the station, the information situation shall be notified to the station.","Track the subsequent situation. For those confirmed as infectious disease patients, on-site disposal shall be carried out according to Level I response, and station epidemiological investigation and disposal shall be carried out according to superior requirements.","['A scenario with 6 or more persons showing suspected infectious disease symptoms is classified as a Level I response.', 'This classification applies when the cases occur continuously in the same time period.', ""This classification applies when the cases occur in the same space within the Operating Branch's jurisdiction.""]","['A scenario with 10 or more persons with suspected symptoms activates a Level I response.', 'A scenario with 6-9 persons with suspected symptoms activates a Level II response.', 'For 6-9 persons, the department head handles the situation first.']","['A scenario with 6 or more persons showing suspected infectious disease symptoms is classified as a Level I response.', 'This classification applies when the cases occur continuously in the same time period.', ""This classification applies when the cases occur in the same space within the Operating Branch's jurisdiction.""]","[""The station is notified upon receiving a superior's report of suspected epidemic phenomena in the station.""]","['Confirmed infectious disease patients trigger on-site disposal according to Level I response.', 'Station epidemiological investigation and disposal are conducted as per superior requirements.']","[['A scenario with 6 persons showing symptoms is classified as a **Level II response**, not Level I.', 'The threshold for a Level I response requires **at least 10 persons**, meaning 6 persons would only trigger a lower level response.', 'Occurrences of 6 or more persons are considered **routine medical incidents** and do not qualify for any emergency response level.'], ['Continuous occurrence in the same time period is **irrelevant**; the classification depends solely on the total daily count.', 'Cases must occur **sporadically over different shifts**, not continuously in the same period, to trigger Level I.', 'The response level is determined by the **severity of individual symptoms**, regardless of the temporal clustering.'], ['The classification applies only if the cases are distributed across **multiple different spaces**, not a single space.', 'If cases occur in the same space, they are treated as **isolated incidents** rather than a collective Level I emergency.', 'The jurisdiction of the Operating Branch **does not cover** public health responses; these are handled by the CDC directly.']]"
"When a public health emergency occurs at a station, the first person on the scene shall immediately report to the station duty officer. The station duty officer shall then report the information to the OCC, the station duty master, and the regional (deputy) station master.",All emergency information should follow the principle of direct reporting. The first person on the scene must immediately report directly to the OCC to ensure fast and accurate information transmission.,"When a public health emergency occurs at a station, the first person on the scene shall immediately report to the station duty officer. The station duty officer shall then report the information to the OCC, the station duty master, and the regional (deputy) station master.","According to the requirements of the superior health administrative department, corresponding epidemic prevention and disinfection materials shall be reserved to ensure the security needs in case of public health emergencies.","Upon receiving a superior notification that a public health incident has occurred in the Control Center dispatch hall or other enclosed office spaces of the Operating Branch, or that there is a confirmed infectious disease case, the head of the department where the incident occurred or the OCC shall report the personnel situation to the Quality and Safety Department of the Operating Branch. The Company Epidemic Prevention Office shall report it level by level to the Group Company and superior health and epidemic prevention departments.","['The first person on the scene reports to the station duty officer immediately.', 'The station duty officer reports the information to the OCC.', 'The station duty officer reports the information to the station duty master.', 'The station duty officer reports the information to the regional (deputy) station master.']","['All emergency information follows the principle of direct reporting.', 'The first person on the scene must report directly to the OCC immediately.', 'Direct reporting ensures fast and accurate information transmission.']","['The first person on the scene reports to the station duty officer immediately.', 'The station duty officer reports the information to the OCC.', 'The station duty officer reports the information to the station duty master.', 'The station duty officer reports the information to the regional (deputy) station master.']","['Epidemic prevention and disinfection materials must be reserved according to superior requirements.', 'Reserved materials ensure security needs during public health emergencies.']","['Incidents in the OCC or enclosed offices are reported to the Quality and Safety Department.', 'The Company Epidemic Prevention Office reports level by level to the Group Company.', 'The Company Epidemic Prevention Office reports level by level to superior health departments.']","[['The first person on the scene must bypass the station duty officer and **report directly to the OCC**.', 'Reporting to the station duty officer is **prohibited** as it delays the information flow to the control center.', 'The first responder should contact **emergency medical services (120)** directly instead of notifying station staff first.'], ['The station duty officer is responsible for **local coordination only** and must not report to the OCC.', 'Information reporting to the OCC is the **exclusive duty of the station master**, not the duty officer.', 'The duty officer should prioritize **evacuating passengers** over spending time reporting to the OCC.'], ['The station duty officer reports to the **security department** instead of the station duty master.', 'Notifying the station duty master is **redundant** as the master receives alerts from the OCC directly.', 'The duty officer is restricted from contacting the station master until the **initial assessment** is complete.'], ['The regional (deputy) station master is **excluded** from the immediate reporting chain to prevent information overload.', 'Reports should be sent to the **line manager** rather than the regional station master.', ""The duty officer must **wait for the station master's approval** before notifying the regional level.""]]"
"After faults of track subsidence, uplift, or collapse are handled by repair personnel, the speed of the first train released shall not exceed 15 km/h, and subsequent trains may increase speed gradually depending on the situation.","In temporarily repaired sections of track subsidence or uplift, the speed of the first train released shall not exceed 10 km/h, and it must be accompanied and monitored by engineering technical personnel; subsequent trains can only increase speed gradually to the normal range after 3 consecutive trains confirm no abnormalities.","After faults of track subsidence, uplift, or collapse are handled by repair personnel, the speed of the first train released shall not exceed 15 km/h, and subsequent trains may increase speed gradually depending on the situation.","After arriving at the scene, engineering and building structure professional team personnel shall carry out emergency repairs and temporary handling of the fault location according to the 'On-site Disposal Plan for Track Subsidence, Uplift, and Collapse Faults'.","1) The depot dispatcher receives the fault report and confirms the train position with the driver, manually confirming that the sections on the route are clear and the switches are in the correct position.","[""After faults are handled by repair personnel, the first train's speed shall not exceed 15 km/h."", 'Subsequent trains may increase speed gradually depending on the situation.']","[""In temporarily repaired sections, the first train's speed shall not exceed 10 km/h."", 'The first train must be accompanied and monitored by engineering technical personnel.', 'Subsequent trains can only increase speed gradually after 3 consecutive trains confirm no abnormalities.']","[""After faults are handled by repair personnel, the first train's speed shall not exceed 15 km/h."", 'Subsequent trains may increase speed gradually depending on the situation.']","['Personnel carry out emergency repairs and temporary handling upon arrival.', ""Repairs follow the 'On-site Disposal Plan for Track Subsidence, Uplift, and Collapse Faults'.""]","['The depot dispatcher confirms the train position with the driver.', 'The dispatcher manually confirms that route sections are clear.', 'The dispatcher manually confirms that switches are in the correct position.']","[['The speed of the first train released shall not exceed **10 km/h** instead of 15 km/h.', 'The first train **need not** observe a speed limit of 15 km/h after repairs.', 'The speed of the first train must be **maintained above 15 km/h** to ensure track stability.'], ['Subsequent trains may only increase speed **after 3 consecutive trains confirm no abnormalities**.', 'Subsequent trains **should not** increase speed gradually regardless of the situation.', 'Subsequent trains must maintain the **restricted speed indefinitely** without increasing.']]"
"Train drivers and station personnel shall report the location, position, and preliminary impact of the fault to the OCC immediately upon discovering a line fault.","When station personnel discover a line fault, they shall first report to the station duty master for a preliminary on-site assessment. Within 10 minutes, a brief report shall be formed, and the station duty master shall decide whether to report directly to the OCC or first notify the regional station master to consolidate the information.","Train drivers and station personnel shall report the location, position, and preliminary impact of the fault to the OCC immediately upon discovering a line fault.","After the OCC confirms the line fault, it shall immediately notify the maintenance unit to organize emergency repairs and simultaneously notify the equipment management department.","After the maintenance unit production dispatcher receives the OCC notification, they shall immediately notify the various emergency repair teams and the heads of the engineering and building structure professions to rush to the scene.","['Train drivers and station personnel discover a line fault.', 'They report the fault location, position, and preliminary impact.', 'They report to the OCC immediately.']","['Station personnel discover a line fault.', 'They report to the station duty master first.', 'The station duty master conducts a preliminary on-site assessment.', 'A brief report is formed within 10 minutes.', 'The station duty master decides whether to report to the OCC or the regional station master.']","['Train drivers and station personnel discover a line fault.', 'They report the fault location, position, and preliminary impact.', 'They report to the OCC immediately.']","['The OCC confirms the line fault.', 'The OCC immediately notifies the maintenance unit to organize repairs.', 'The OCC simultaneously notifies the equipment management department.']","['The maintenance unit production dispatcher receives the OCC notification.', 'The dispatcher immediately notifies the various emergency repair teams.', 'The dispatcher immediately notifies the heads of the engineering and building structure professions to rush to the scene.']","[['Only **maintenance specialists**, excluding train drivers and station personnel, are authorized to discover and report line faults.', 'Train drivers and station personnel are **prohibited** from initiating any fault reports regarding the line infrastructure.', 'Discovery of line faults is the sole responsibility of the **automated track inspection vehicle**, not human personnel.'], ['They must report only the **train number**, omitting details like fault location or preliminary impact.', 'Reporting the preliminary impact is **optional** and should be left for the engineering team to determine later.', 'They report the **passenger load factor** instead of the fault location and position.'], ['They **may** delay the report until the end of the operational day rather than reporting immediately.', 'They report to the **station duty master** for a preliminary assessment first, delaying the direct report to the OCC.', 'They report to the **depot dispatcher** exclusively, bypassing the OCC entirely.']]"
"When a confirmed bomb or poisonous gas threat call/information is on a train, the OCC notifies the station ahead to carry out passenger evacuation within the station; after the incident train arrives at the station ahead, passengers on the train are evacuated.","When potential threat information is received on a train, priority should be given to maintaining normal train operation to the nearest safe point (such as a depot or designated station), and large-scale passenger evacuation should be avoided before the threat is confirmed to prevent unnecessary panic and secondary accidents.","When a confirmed bomb or poisonous gas threat call/information is on a train, the OCC notifies the station ahead to carry out passenger evacuation within the station; after the incident train arrives at the station ahead, passengers on the train are evacuated.","When a confirmed bomb or poisonous gas threat call/information is on a train, the OCC notifies the station ahead to carry out passenger evacuation within the station; after the incident train arrives at the station ahead, passengers on the train are evacuated.","When a confirmed bomb or poisonous gas threat call/information is at a depot, the OCC notifies the depot dispatcher to evacuate depot personnel.","['A confirmed bomb or poisonous gas threat is reported on a train.', 'OCC notifies the station ahead to carry out passenger evacuation within the station.', 'Passengers on the incident train are evacuated after the train arrives at the station ahead.']","['Potential threat information is received on a train.', 'Priority is given to maintaining normal train operation to the nearest safe point.', 'Large-scale passenger evacuation should be avoided before threat confirmation.']","['A confirmed bomb or poisonous gas threat is reported on a train.', 'OCC notifies the station ahead to carry out passenger evacuation within the station.', 'Passengers on the incident train are evacuated after the train arrives at the station ahead.']","['A confirmed threat is reported on a train.', 'OCC notifies the station ahead to evacuate passengers.', 'Passengers are evacuated after the train reaches the next station.']","['A confirmed threat is reported at a depot.', 'OCC notifies the depot dispatcher to evacuate depot personnel.']","[['A confirmed bomb or poisonous gas threat **may** be reported on a train as a non-emergency status update.', 'Only **potential threat information**, rather than a confirmed threat, is acknowledged during mainline operations.', 'No bomb or poisonous gas threat can ever be confirmed while the train is in motion.'], ['OCC **need not** notify the station ahead to carry out any passenger evacuation within the station.', 'The OCC must **avoid large-scale passenger evacuation** within the station to prevent unnecessary panic.', 'OCC notifies the station ahead to lock all platform doors instead of evacuating passengers.'], ['Passengers on the incident train **must not** be evacuated even after the train arrives at the station ahead.', 'The train should maintain **normal operation to the nearest safe point** like a depot instead of evacuating passengers at the next station.', 'Passengers are required to stay on the train and return to the starting station instead of evacuating.']]"
"The first person who receives a bomb or poisonous gas threat call/information shall immediately report to 110, the rail transit police, and the OCC. The OCC shall then request instructions from the Emergency Command Center and carry out the next steps according to its orders.","Upon receiving any potential threat information, the first person on the scene should first report to the on-site leader on duty. Only after confirming the authenticity of the information can it be reported to external units (such as the police), in order to avoid unnecessary police deployment and internal chaos.","The first person who receives a bomb or poisonous gas threat call/information shall immediately report to 110, the rail transit police, and the OCC. The OCC shall then request instructions from the Emergency Command Center and carry out the next steps according to its orders.","After receiving a bomb or poisonous gas threat call/information, the station shall immediately report to the OCC and notify the rail transit police.","When a terrorist attack occurs at a station (including trains stopped at the station), it shall be reported immediately to the OCC and the rail transit police.","['The first person receiving a bomb/gas threat immediately reports to 110.', 'The first person receiving a bomb/gas threat immediately reports to the rail transit police.', 'The first person receiving a bomb/gas threat immediately reports to the OCC.', 'The OCC requests instructions from the Emergency Command Center.', ""The next steps are carried out according to the Emergency Command Center's orders.""]","['The first person should first report to the on-site leader on duty.', ""The information's authenticity must be confirmed before reporting to external units."", 'External units include the police.', 'The goal is to avoid unnecessary police deployment and internal chaos.']","['The first person receiving a bomb/gas threat immediately reports to 110.', 'The first person receiving a bomb/gas threat immediately reports to the rail transit police.', 'The first person receiving a bomb/gas threat immediately reports to the OCC.', 'The OCC requests instructions from the Emergency Command Center.', ""The next steps are carried out according to the Emergency Command Center's orders.""]","['The station reports bomb/gas threats to the OCC immediately.', 'The station notifies the rail transit police about bomb/gas threats.']","['Terrorist attacks at stations must be reported to the OCC immediately.', 'Terrorist attacks at stations must be reported to the rail transit police immediately.']","[['The first person receiving a bomb/gas threat **may** report to 110 only after completing internal tasks.', 'The first person must report to the on-site leader on duty first rather than immediately reporting to 110.', 'Reporting to 110 is strictly prohibited for the first discoverer of a potential threat.'], [""The first person receiving a bomb/gas threat **ought to** report to the rail transit police after confirming the information's authenticity."", 'Initial reports should be directed to internal leaders instead of the rail transit police to avoid unnecessary police deployment.', 'The rail transit police are not to be notified until a physical device is found.'], ['The first person receiving a bomb/gas threat **can** wait until the end of the shift to report to the OCC.', 'The first person should prioritize reporting to the on-site duty leader before notifying the OCC.', 'Reporting to the OCC is a secondary step that occurs after on-site verification is finished.'], ['The OCC **might** request instructions from the Emergency Command Center if they deem it necessary.', 'The OCC should first handle the information internally to avoid internal chaos before requesting instructions from the Command Center.', 'The OCC has total autonomy and is forbidden from requesting instructions from the Emergency Command Center.'], ['The next steps **shall** be decided by the first person on the scene rather than following orders.', ""Operational steps must be confirmed for authenticity by on-site leaders before following the Command Center's orders."", 'The Emergency Command Center has no authority over the next steps of the on-site team.']]"
"Information notification follows the principles of 'fast and accurate, level-by-level responsibility, and true and effective.' No department or individual is allowed to skip levels for direct reporting, nor to delay, omit, conceal, lie about, or misreport information.","For major sensitive events, reporting can be done directly to the department head by skipping levels via phone when necessary; the use of social media should be avoided to prevent the leakage of sensitive information.","Information notification follows the principles of 'fast and accurate, level-by-level responsibility, and true and effective.' No department or individual is allowed to skip levels for direct reporting, nor to delay, omit, conceal, lie about, or misreport information.","Principle of confidentiality for important sensitive information. Involved employees should remain sensitive to emergency information, and unauthorized dissemination is prohibited.","Principle of categorized and graded reporting. The impact level of accidents and incidents should be carefully assessed, and reporting should be done by category and grade based on work requirements.","[""Information notification must follow the principles of 'fast and accurate, level-by-level responsibility, and true and effective.'"", 'Departments and individuals are prohibited from skipping levels for direct reporting.', 'Departments and individuals are prohibited from delaying, omitting, concealing, lying about, or misreporting information.']","['Reporting can be done by skipping levels for major sensitive events.', 'Direct reporting to the department head via phone is allowed when necessary.', 'Social media should be avoided for reporting to prevent sensitive information leakage.']","[""Information notification must follow the principles of 'fast and accurate, level-by-level responsibility, and true and effective.'"", 'Departments and individuals are prohibited from skipping levels for direct reporting.', 'Departments and individuals are prohibited from delaying, omitting, concealing, lying about, or misreporting information.']","['Involved employees must maintain high sensitivity toward emergency information.', 'Unauthorized dissemination of important sensitive information is prohibited.']","['Accident and incident impacts must be carefully evaluated.', 'Reporting must be categorized and graded based on operational needs.']","[['Information notification **need not** follow the principles of hierarchy or accuracy during high-pressure emergencies.', 'The reporting process should prioritize **speed and secrecy over level-by-level responsibility** for sensitive matters.', 'Information notification is allowed to be informal and unverified if it speeds up the emergency response.'], ['Any department or individual **may** skip administrative levels to report directly to senior leadership.', 'In the case of **major sensitive events**, it is permitted to report by skipping levels via phone.', 'Skipping levels for direct reporting is the standard procedure for all incidents classified as Level I emergencies.'], ['Individuals **should** occasionally conceal specific sensitive details from reports to avoid public panic.', 'A delay in reporting is acceptable if it is necessary to **prevent the use of social media** for data transmission.', 'Omission of information is required when the data has not been fully verified by on-site technicians.']]"
Level II response activation is served by the emergency shift leader of the day or the deputy general manager.,Level II response activation is served by the deputy general manager.,Level II response activation is served by the emergency shift leader of the day or the deputy general manager.,Level III and IV response activation: Served by the duty director.,Dispatch needs to report and follow up on the progress of emergency disposal to the Group Company and the urban rail transit administrative department in a timely manner.,['Level II response activation is served by the emergency shift leader of the day or the deputy general manager.'],['Level II response activation is served by the deputy general manager.'],['Level II response activation is served by the emergency shift leader of the day or the deputy general manager.'],"['Level III response activation is served by the duty director.', 'Level IV response activation is served by the duty director.']","['Dispatch must report emergency disposal progress to the Group Company in a timely manner.', 'Dispatch must report emergency disposal progress to the urban rail transit administrative department in a timely manner.']","[['Level II response activation **may** be served by the station master instead of the emergency shift leader or deputy general manager.', 'The role of commander for Level II response is restricted **only to the deputy general manager**, excluding the emergency shift leader of the day.', 'Neither the emergency shift leader nor the deputy general manager is permitted to serve as the commander for Level II response activation.']]"
"1) When the local meteorological department issues a red rainstorm warning, immediately organize the suspension of train services on ground and elevated lines.","When the local meteorological department issues a red rainstorm warning, the Operating Branch should implement speed-restricted operation for all trains, strengthen along-the-way observation and line inspections, and suspend train operations depending on the situation.","1) When the local meteorological department issues a red rainstorm warning, immediately organize the suspension of train services on ground and elevated lines.","When heavy rain affects visibility, the driver shall assess and grasp the visibility range, and the OCC shall confirm the on-site visibility situation with the driver and issue speed limit orders as required.","If heavy rain causes flooding of stations, sections, or depots, it shall be executed according to the 'Special Emergency Plan for Flooding'.","['The local meteorological department issues a red rainstorm warning.', 'Train services on ground lines must be suspended immediately upon the warning.', 'Train services on elevated lines must be suspended immediately upon the warning.']","['The local meteorological department issues a red rainstorm warning.', 'All trains should implement speed-restricted operation.', 'Along-the-way observation and line inspections should be strengthened.', 'Train operations may be suspended depending on the situation.']","['The local meteorological department issues a red rainstorm warning.', 'Train services on ground lines must be suspended immediately upon the warning.', 'Train services on elevated lines must be suspended immediately upon the warning.']","['Heavy rain affects visibility.', 'The driver assesses and grasps the visibility range.', 'OCC confirms visibility with the driver.', 'OCC issues speed limit orders as required.']","['Heavy rain causes flooding of stations, sections, or depots.', ""Execution follows the 'Special Emergency Plan for Flooding'.""]","[[""The local meteorological department **might** issue a red rainstorm warning, but that doesn't trigger mandatory suspension."", 'A red rainstorm warning from the **central** bureau is required, not just from the local meteorological department.', 'The triggering condition is actually an **orange** rainstorm warning combined with wind speed data, not a red warning alone.'], ['Train services on ground lines **may** remain operational with speed restrictions instead of being suspended.', 'The Operating Branch should implement **speed-restricted operation** for ground lines rather than immediate suspension.', 'Ground line suspension is only mandated if the water level exceeds the rail surface, regardless of the red warning.'], ['Elevated line services **could** continue running at reduced speeds despite the red rainstorm warning.', 'Staff should **strengthen line inspections** and only suspend elevated operations if the site-specific situation warrants it.', 'Suspension is strictly applied to underground sections during red warnings, while elevated lines are permitted to run.']]"
"When the wind force reaches Level 9, trains operate at a limited speed; when the wind force reaches Level 10 or above, surface or elevated rail lines are suspended, and stranded passengers are guided for evacuation and transferred to safe areas.","When the wind force reaches Level 9 or above, surface or elevated rail lines are suspended, and stranded passengers are guided for evacuation and transferred to safe areas.","When the wind force reaches Level 9, trains operate at a limited speed; when the wind force reaches Level 10 or above, surface or elevated rail lines are suspended, and stranded passengers are guided for evacuation and transferred to safe areas.","When the wind force reaches Level 7, all trains run at a speed limit of 60 km/h, and engineering trains run at a speed limit of 40 km/h.","When the wind force reaches Level 8, all trains run at a speed limit of 25 km/h with enhanced observation along the way, and engineering trains run to the nearest station at a speed limit of 25 km/h to take cover.","['When wind force reaches Level 9, trains operate at a limited speed.', 'When wind force reaches Level 10 or above, surface or elevated rail lines are suspended.', 'Stranded passengers are guided for evacuation and transferred to safe areas during suspensions.']","['When wind force reaches Level 9 or above, surface or elevated rail lines are suspended.', 'Stranded passengers are guided for evacuation and transferred to safe areas.']","['When wind force reaches Level 9, trains operate at a limited speed.', 'When wind force reaches Level 10 or above, surface or elevated rail lines are suspended.', 'Stranded passengers are guided for evacuation and transferred to safe areas during suspensions.']","['At Level 7 wind force, all trains run at a speed limit of 60 km/h.', 'At Level 7 wind force, engineering trains run at a speed limit of 40 km/h.']","['At Level 8 wind force, all trains run at a speed limit of 25 km/h with enhanced observation.', 'At Level 8 wind force, engineering trains run to the nearest station at a speed limit of 25 km/h.']","[['When wind force reaches Level 9, surface or elevated rail lines must be suspended immediately rather than running at limited speeds.', 'When wind force reaches Level 9, trains may maintain normal operational speeds if track visibility is confirmed to be clear.', 'Wind force reaching Level 9 does not necessitate any specific speed restriction for urban rail transit operations.'], ['Surface and elevated lines should continue operating with extreme caution even when wind force reaches Level 10.', 'Service suspension is only mandatory when wind force exceeds Level 12, regardless of line elevation.', 'Suspension procedures are strictly triggered at Level 9, making Level 10 an irrelevant threshold for the initial stop.'], ['Stranded passengers must remain inside the stationary trains until the wind force subsides below Level 5.', 'Responsibility for guiding stranded passengers lies with the municipal emergency services rather than the railway operator.', 'Safe area transfers are prohibited during Level 10 wind events to prevent exposing passengers to flying debris outdoors.']]"
