Original_Text,Conflict1 (Contradiction),Conflict2 (Contradiction),Paraphrase_Structure_1 (Entailment),Paraphrase_Structure_2 (Entailment),Original_Text_atoms,Conflict1 (Contradiction)_atoms,Conflict2 (Contradiction)_atoms,Paraphrase_Structure_1 (Entailment)_atoms,Paraphrase_Structure_2 (Entailment)_atoms,Neg_Original_Text_atoms
"Directs the Attorney General to establish: (1) regional health care fraud task forces and a data base for the reporting of final adverse actions against health care providers, suppliers, or practitioners; and (2) a national, toll-free health care fraud and abuse hotline.","Directs the Attorney General to disband: (1) regional health care fraud task forces and a data base for the reporting of final adverse actions against health care providers, suppliers, or practitioners; and (2) a national, toll-free health care fraud and abuse hotline.","Directs the Surgeon General to establish: (1) global health care fraud task forces and a data base for the reporting of preliminary adverse actions against health care providers, suppliers, or practitioners; and (2) a national, paid health care fraud and abuse hotline.","Instructs the Attorney General to create regional health care fraud task forces, a database for final adverse actions against providers, and a national toll-free fraud hotline.","The Attorney General is directed to set up a national toll-free fraud hotline, regional task forces for health care fraud, and a database reporting final adverse actions against providers.","[""The Act directs the Attorney General to establish regional health care fraud task forces."", ""The Act directs the Attorney General to establish a data base for the reporting of final adverse actions against health care providers, suppliers, or practitioners."", ""The Act directs the Attorney General to establish a national, toll-free health care fraud and abuse hotline.""]","[""The Act directs the Attorney General to disband regional health care fraud task forces."", ""The Act directs the Attorney General to disband a data base for the reporting of final adverse actions against health care providers, suppliers, or practitioners."", ""The Act directs the Attorney General to disband a national, toll-free health care fraud and abuse hotline.""]","[""The Act directs the Surgeon General to establish global health care fraud task forces."", ""The Act directs the Surgeon General to establish a data base for the reporting of preliminary adverse actions against health care providers, suppliers, or practitioners."", ""The Act directs the Surgeon General to establish a national, paid health care fraud and abuse hotline.""]","[""The Act instructs the Attorney General to create regional health care fraud task forces."", ""The Act instructs the Attorney General to create a database for final adverse actions against providers."", ""The Act instructs the Attorney General to create a national toll-free fraud hotline.""]","[""The Attorney General is directed to set up a national toll-free fraud hotline."", ""The Attorney General is directed to set up regional task forces for health care fraud."", ""The Attorney General is directed to set up a database reporting final adverse actions against providers.""]","[[""The Act prohibits the Attorney General from establishing regional health care fraud task forces."", ""The Act directs the Secretary of State to establish regional health care fraud task forces."", ""The Act directs the Attorney General to dissolve regional health care fraud task forces.""], [""The Act prohibits the Attorney General from establishing a data base for reporting adverse actions."", ""The Act directs the Attorney General to establish a data base for reporting positive professional achievements of health care providers."", ""The Act directs the Governor to establish a data base for reporting final adverse actions.""], [""The Act prohibits the Attorney General from establishing a national, toll-free health care fraud hotline."", ""The Act directs the Attorney General to establish a local, fee-based health care fraud hotline."", ""The Act directs the Department of Labor to establish a national, toll-free health care fraud hotline.""]]"
Answer Africa's Call Act - Amends the Internal Revenue Code to impose an additional income tax (surcharge) on adjusted gross incomes exceeding certain threshold levels (in order to fund the U.S. International Finance Facility).,Answer Africa's Call Act - Amends the Internal Revenue Code to repeal an additional income tax (surcharge) on adjusted gross incomes below certain threshold levels (in order to defund the U.S. International Finance Facility).,Answer Africa's Call Act - Amends the Criminal Code to impose an additional prison sentence (surcharge) on adjusted gross weights exceeding certain threshold levels (in order to fund the U.S. prison system).,Answer Africa's Call Act - Changes the Internal Revenue Code to levy a surcharge on high adjusted gross incomes to support the U.S. International Finance Facility.,"Answer Africa's Call Act - Revises the Internal Revenue Code, applying an extra tax on income above specific thresholds to finance the U.S. International Finance Facility.","[""The Answer Africa's Call Act amends the Internal Revenue Code."", ""The amendment imposes an additional income tax surcharge on adjusted gross incomes exceeding certain threshold levels."", ""The surcharge is to fund the U.S. International Finance Facility.""]","[""The Answer Africa's Call Act amends the Internal Revenue Code."", ""The amendment repeals an additional income tax surcharge on adjusted gross incomes below certain threshold levels."", ""The repeal is to defund the U.S. International Finance Facility.""]","[""The Answer Africa's Call Act amends the Criminal Code."", ""The amendment imposes an additional prison sentence surcharge on adjusted gross weights exceeding certain threshold levels."", ""The surcharge is to fund the U.S. prison system.""]","[""The Answer Africa's Call Act changes the Internal Revenue Code."", ""The change levies a surcharge on high adjusted gross incomes."", ""The surcharge is to support the U.S. International Finance Facility.""]","[""The Answer Africa's Call Act revises the Internal Revenue Code."", ""The revision applies an extra tax on income above specific thresholds."", ""The tax is to finance the U.S. International Finance Facility.""]","[[""The Answer Africa's Call Act repeals the Internal Revenue Code."", ""The Answer Africa's Call Act amends the Social Security Act."", ""The Answer Africa's Call Act ignores the Internal Revenue Code.""], [""The amendment prohibits an additional income tax surcharge on adjusted gross incomes exceeding certain threshold levels."", ""The amendment imposes an additional income tax credit on adjusted gross incomes exceeding certain threshold levels."", ""The amendment imposes an additional income tax surcharge on adjusted gross incomes falling below certain threshold levels.""], [""The surcharge is to fund the Private International Finance Facility."", ""The surcharge is to destroy the U.S. International Finance Facility."", ""The surcharge is to fund the U.S. Domestic Finance Facility.""]]"
Personal mobile phones are not allowed in the secure zone.,Bringing private cellular devices into the restricted area is fine.,Staff may carry their smartphones inside high-security rooms.,Cellular telephones belonging to staff are banned from the secure sector.,Entry with private handsets is prohibited within the safety zone.,"['Personal mobile phones are not allowed.', 'Prohibition applies in the secure zone.']","['Bringing private cellular devices is fine.', 'Area is the restricted area.']","['Staff may carry their smartphones.', 'Location is inside high-security rooms.']","['Cellular telephones are banned.', 'Ban applies to the secure sector.']","['Entry with private handsets is prohibited.', 'Zone is the safety zone.']","[['Personal mobile phones are allowed.', 'Phones can be brought into the secure zone.', 'There is no ban on phones.'], ['The restriction does not apply to the secure zone.', 'Only cameras are banned.', 'Mobile phones are permitted.']]"
"Amends the Defense Department Overseas Teachers Pay and Personnel Practices Act to require that, in certain cases, DoDDS teachers recruited abroad be entitled to the same benefits as teachers recruited in the United States.","Amends the Defense Department Overseas Teachers Pay and Personnel Practices Act to forbid that, in certain cases, DoDDS teachers recruited abroad be entitled to the same benefits as teachers recruited in the United States.","Amends the Defense Department Overseas Teachers Pay and Personnel Practices Act to require that, in certain cases, DoDDS teachers recruited abroad be entitled to fewer benefits than teachers recruited in the United States.",Modifies the Defense Department Overseas Teachers Pay and Personnel Practices Act to grant DoDDS teachers recruited overseas equal benefits to those recruited in the U.S. in specific instances.,"Revises the Act governing Defense Department overseas teachers to ensure that, in certain situations, teachers hired abroad receive the same benefits as their U.S.-recruited counterparts.","[""The Act amends the Defense Department Overseas Teachers Pay and Personnel Practices Act."", ""The amendment requires that, in certain cases, DoDDS teachers recruited abroad be entitled to the same benefits as teachers recruited in the United States.""]","[""The Act amends the Defense Department Overseas Teachers Pay and Personnel Practices Act."", ""The amendment forbids that, in certain cases, DoDDS teachers recruited abroad be entitled to the same benefits as teachers recruited in the United States.""]","[""The Act amends the Defense Department Overseas Teachers Pay and Personnel Practices Act."", ""The amendment requires that, in certain cases, DoDDS teachers recruited abroad be entitled to fewer benefits than teachers recruited in the United States.""]","[""The Act modifies the Defense Department Overseas Teachers Pay and Personnel Practices Act."", ""The modification grants DoDDS teachers recruited overseas equal benefits to those recruited in the U.S. in specific instances.""]","[""The Act revises the Act governing Defense Department overseas teachers."", ""The revision ensures that, in certain situations, teachers hired abroad receive the same benefits as their U.S.-recruited counterparts.""]","[[""The Act repeals the Defense Department Overseas Teachers Pay and Personnel Practices Act."", ""The Act amends the State Department Overseas Teachers Pay and Personnel Practices Act."", ""The Act ignores the Defense Department Overseas Teachers Pay and Personnel Practices Act.""], [""The amendment requires that DoDDS teachers recruited abroad be entitled to different benefits than teachers recruited in the United States."", ""The amendment requires that DoDDS teachers recruited locally be entitled to the same benefits as teachers recruited in the United States."", ""The amendment prohibits that DoDDS teachers recruited abroad be entitled to the same benefits as teachers recruited in the United States.""]]"
"Requires the President, acting through the Administrator of the Federal Emergency Management Agency (FEMA), to set appropriate standards for the periodic update, resubmittal, and approval of state building codes, consistent with similar mitigation planning requirements under the Stafford Act.","Requires the President, acting through the Administrator of the Federal Emergency Management Agency (FEMA), to abolish appropriate standards for the periodic update, resubmittal, and approval of state building codes, contradicting similar mitigation planning requirements under the Stafford Act.","Requires the Governor, acting through the Administrator of the EPA, to set loose standards for the one-time update, resubmittal, and approval of city traffic codes, consistent with similar environmental planning requirements under the Clean Air Act.","Directs the President, via the FEMA Administrator, to establish standards for updating and approving state building codes, aligning with Stafford Act mitigation planning.","The President must ensure the FEMA Administrator sets standards for the regular updating and approval of state building codes, in accordance with the Stafford Act's mitigation requirements.","[""The Act requires the President to set appropriate standards for the periodic update, resubmittal, and approval of state building codes."", ""The President acts through the Administrator of the Federal Emergency Management Agency (FEMA)."", ""The standards must be consistent with similar mitigation planning requirements under the Stafford Act.""]","[""The Act requires the President to abolish appropriate standards for the periodic update, resubmittal, and approval of state building codes."", ""The President acts through the Administrator of the Federal Emergency Management Agency (FEMA)."", ""The abolition contradicts similar mitigation planning requirements under the Stafford Act.""]","[""The Act requires the Governor to set loose standards for the one-time update, resubmittal, and approval of city traffic codes."", ""The Governor acts through the Administrator of the Environmental Protection Agency (EPA)."", ""The standards must be consistent with similar environmental planning requirements under the Clean Air Act.""]","[""The Act directs the President to establish standards for updating and approving state building codes."", ""The President acts via the Federal Emergency Management Agency (FEMA) Administrator."", ""The standards align with Stafford Act mitigation planning.""]","[""The President must ensure the Federal Emergency Management Agency (FEMA) Administrator sets standards for the regular updating and approval of state building codes."", ""The standards must be in accordance with the Stafford Act's mitigation requirements.""]","[[""The Act prohibits the President to set appropriate standards for the periodic update and approval of state building codes."", ""The Act requires the President to set inappropriate standards for the periodic update and approval of state building codes."", ""The Act requires the President to set appropriate standards for the one-time update and approval of state building codes.""], [""The President acts through the Director of the Central Intelligence Agency (CIA)."", ""The President acts independently of the Administrator of the Federal Emergency Management Agency (FEMA)."", ""The Governor acts through the Administrator of the Federal Emergency Management Agency (FEMA).""], [""The standards must be inconsistent with similar mitigation planning requirements under the Stafford Act."", ""The standards must be consistent with different mitigation planning requirements under the Clean Air Act."", ""The standards must be consistent with similar construction planning requirements under the Private Building Act.""]]"
"(Sec. 7) Requires each health access plan, in order to evaluate its performance in improving the health status of persons living in comprehensive health access districts, to provide the Secretary with specified health-related information.","(Sec. 7) Forbids each health access plan, in order to evaluate its performance in improving the health status of persons living in comprehensive health access districts, to provide the Secretary with specified health-related information.","(Sec. 7) Requires each marketing access plan, in order to evaluate its performance in improving the financial status of persons living in wealthy health access districts, to provide the media with specified sales-related information.",(Sec. 7) Mandates that health access plans submit specific health data to the Secretary to assess their impact on the health of residents in comprehensive health access districts.,(Sec. 7) Obliges health access plans to furnish the Secretary with designated health information to gauge their success in bettering the health of district residents.,"[""Section 7 requires each health access plan to provide the Secretary with specified health-related information."", ""The provision of information is to evaluate the plan's performance in improving the health status of persons living in comprehensive health access districts.""]","[""Section 7 forbids each health access plan to provide the Secretary with specified health-related information."", ""The forbidance is to evaluate the plan's performance in improving the health status of persons living in comprehensive health access districts.""]","[""Section 7 requires each marketing access plan to provide the media with specified sales-related information."", ""The provision of information is to evaluate the plan's performance in improving the financial status of persons living in wealthy health access districts.""]","[""Section 7 mandates that health access plans submit specific health data to the Secretary."", ""The data submission is to assess the plans' impact on the health of residents in comprehensive health access districts.""]","[""Section 7 obliges health access plans to furnish the Secretary with designated health information."", ""The information is to gauge the plans' success in bettering the health of district residents.""]","[[""Section 7 prohibits each health access plan to provide the Secretary with specified health-related information."", ""Section 7 requires each health access plan to hide from the Secretary specified health-related information."", ""Section 7 requires each insurance plan to provide the Secretary with specified health-related information.""], [""The provision of information is to ignore the plan's performance in improving health status."", ""The provision of information is to evaluate the plan's failure in improving health status."", ""The provision of information is to evaluate the plan's performance in decreasing the health status of persons.""]]"
"Establishes the United States International Finance Facility Trust Fund in the Treasury consisting of such amounts appropriated or credited to the Trust Fund, including amounts collected from the surcharge).","Abolishes the United States International Finance Facility Trust Fund in the Treasury consisting of such amounts withdrawn or debited to the Trust Fund, excluding amounts collected from the surcharge).","Establishes the United States Domestic Finance Facility Trust Fund in the Federal Reserve consisting of such amounts donated or gifted to the Trust Fund, including amounts collected from the lottery).","Creates the U.S. International Finance Facility Trust Fund within the Treasury, comprising appropriated or credited sums, including surcharge collections.","The United States International Finance Facility Trust Fund is established in the Treasury, funded by appropriations, credits, and collected surcharges.","[""The Act establishes the United States International Finance Facility Trust Fund in the Treasury."", ""The Fund consists of amounts appropriated or credited to the Trust Fund."", ""The Fund consists of amounts collected from the surcharge.""]","[""The Act abolishes the United States International Finance Facility Trust Fund in the Treasury."", ""The Fund consists of amounts withdrawn or debited to the Trust Fund."", ""The Fund excludes amounts collected from the surcharge.""]","[""The Act establishes the United States Domestic Finance Facility Trust Fund in the Federal Reserve."", ""The Fund consists of amounts donated or gifted to the Trust Fund."", ""The Fund consists of amounts collected from the lottery.""]","[""The Act creates the U.S. International Finance Facility Trust Fund within the Treasury."", ""The Fund comprises appropriated or credited sums, including surcharge collections.""]","[""The United States International Finance Facility Trust Fund is established in the Treasury."", ""The Fund is funded by appropriations, credits, and collected surcharges.""]","[[""The Act dissolves the United States International Finance Facility Trust Fund in the Treasury."", ""The Act establishes the United States International Finance Facility Trust Fund in a private bank."", ""The Act establishes the United States Domestic Finance Facility Trust Fund in the Treasury.""], [""The Fund excludes amounts appropriated or credited to the Trust Fund."", ""The Fund consists of amounts borrowed from foreign nations."", ""The Fund consists of amounts appropriated to the Department of Defense.""], [""The Fund excludes amounts collected from the surcharge."", ""The Fund consists of amounts collected from the tax."", ""The Fund consists of amounts collected from the interest.""]]"
Amends the Robert T. Stafford Disaster Relief and Emergency Assistance Act to provide for a permanent enhanced Federal match under the individual and family grant program for States frequently declared to be disaster areas.,Amends the Robert T. Stafford Disaster Relief and Emergency Assistance Act to eliminate a permanent enhanced Federal match under the individual and family grant program for States frequently declared to be disaster areas.,Amends the National School Lunch Act to provide for a permanent enhanced Federal match under the individual and family meal program for States frequently declared to be poverty areas.,Modifies the Robert T. Stafford Disaster Relief and Emergency Assistance Act to establish a permanent increased federal match for the individual/family grant program in frequently disaster-declared states.,"Updates the Robert T. Stafford Disaster Relief and Emergency Assistance Act, ensuring a permanent enhanced federal match for individual and family grants in states often hit by disasters.","[""The Act amends the Robert T. Stafford Disaster Relief and Emergency Assistance Act."", ""The amendment provides for a permanent enhanced Federal match under the individual and family grant program."", ""The match applies to States frequently declared to be disaster areas.""]","[""The Act amends the Robert T. Stafford Disaster Relief and Emergency Assistance Act."", ""The amendment eliminates a permanent enhanced Federal match under the individual and family grant program."", ""The elimination applies to States frequently declared to be disaster areas.""]","[""The Act amends the National School Lunch Act."", ""The amendment provides for a permanent enhanced Federal match under the individual and family meal program."", ""The match applies to States frequently declared to be poverty areas.""]","[""The Act modifies the Robert T. Stafford Disaster Relief and Emergency Assistance Act to establish a permanent increased federal match for the individual and family grant program in frequently disaster-declared states.""]","[""The Act updates the Robert T. Stafford Disaster Relief and Emergency Assistance Act."", ""The update ensures a permanent enhanced federal match for individual and family grants in states often hit by disasters.""]","[[""The Act repeals the Robert T. Stafford Disaster Relief and Emergency Assistance Act."", ""The Act ignores the Robert T. Stafford Disaster Relief and Emergency Assistance Act."", ""The Act amends the National Security Act.""], [""The amendment provides for a temporary reduced Federal match under the individual and family grant program."", ""The amendment prohibits a permanent enhanced Federal match under the individual and family grant program."", ""The amendment provides for a permanent enhanced State match under the individual and family grant program.""], [""The match applies to States that are never declared to be disaster areas."", ""The match applies to private corporations frequently declared to be disaster areas."", ""The match expires for States frequently declared to be disaster areas.""]]"
(Sec. 3) Amends the Public Health Service Act to require the Secretary of Health and Human Services to establish a system for the collection and analysis of data regarding the incidence and prevalence of neurological diseases and conditions.,(Sec. 3) Amends the Public Health Service Act to forbid the Secretary of Health and Human Services to establish a system for the collection and analysis of data regarding the incidence and prevalence of neurological diseases and conditions.,(Sec. 3) Amends the Clean Water Act to require the Secretary of Interior to establish a system for the collection and analysis of data regarding the incidence and prevalence of aquatic diseases and conditions.,"(Sec. 3) Updates the Public Health Service Act, mandating the HHS Secretary to create a system for collecting and analyzing data on neurological disease incidence and prevalence.",(Sec. 3) Modifies the Public Health Service Act to require the Secretary of Health and Human Services to implement a data collection and analysis system for neurological conditions.,"[""Section 3 amends the Public Health Service Act."", ""The amendment requires the Secretary of Health and Human Services to establish a system for the collection and analysis of data regarding the incidence and prevalence of neurological diseases and conditions.""]","[""Section 3 amends the Public Health Service Act."", ""The amendment forbids the Secretary of Health and Human Services to establish a system for the collection and analysis of data regarding the incidence and prevalence of neurological diseases and conditions.""]","[""Section 3 amends the Clean Water Act."", ""The amendment requires the Secretary of Interior to establish a system for the collection and analysis of data regarding the incidence and prevalence of aquatic diseases and conditions.""]","[""Section 3 updates the Public Health Service Act."", ""The update mandates the HHS Secretary to create a system for collecting and analyzing data on neurological disease incidence and prevalence.""]","[""Section 3 modifies the Public Health Service Act."", ""The modification requires the Secretary of Health and Human Services to implement a data collection and analysis system for neurological conditions.""]","[[""Section 3 repeals the Public Health Service Act."", ""Section 3 ignores the Public Health Service Act."", ""Section 3 amends the National Security Act.""], [""The amendment prohibits the Secretary of Health and Human Services to establish a system for data collection."", ""The amendment requires the Secretary of State to establish a system for data analysis."", ""The amendment requires the Secretary of Health and Human Services to terminate a system for the collection of data.""]]"
Directs the Secretary to establish a panel to determine the fair market value of the coal reserves of any coal preference right applications withdrawn under this Act. Instructs the Secretary to contract with a qualified coal reserve appraiser to assist the panel.,Directs the Secretary to disband a panel to ignore the fair market value of the coal reserves of any coal preference right applications withdrawn under this Act. Instructs the Secretary to fire a qualified coal reserve appraiser to assist the panel.,Directs the President to establish a panel to determine the sentimental value of the gold reserves of any gold preference right applications withdrawn under this Act. Instructs the President to contract with a qualified gold reserve appraiser to assist the panel.,Orders the Secretary to form a panel to value coal reserves from withdrawn preference right applications and to hire a qualified appraiser to aid the panel.,The Secretary must create a panel to assess the fair market value of coal reserves from withdrawn applications and contract a qualified appraiser for support.,"[""The Act directs the Secretary to establish a panel to determine the fair market value of the coal reserves of any coal preference right applications withdrawn under this Act."", ""The Act instructs the Secretary to contract with a qualified coal reserve appraiser to assist the panel.""]","[""The Act directs the Secretary to disband a panel to ignore the fair market value of the coal reserves of any coal preference right applications withdrawn under this Act."", ""The Act instructs the Secretary to fire a qualified coal reserve appraiser to assist the panel.""]","[""The Act directs the President to establish a panel to determine the sentimental value of the gold reserves of any gold preference right applications withdrawn under this Act."", ""The Act instructs the President to contract with a qualified gold reserve appraiser to assist the panel.""]","[""The Act orders the Secretary to form a panel to value coal reserves from withdrawn preference right applications."", ""The Act orders the Secretary to hire a qualified appraiser to aid the panel.""]","[""The Secretary must create a panel to assess the fair market value of coal reserves from withdrawn applications."", ""The Secretary must contract a qualified appraiser for support.""]","[[""The Act directs the Secretary to abolish a panel to determine the fair market value of coal reserves."", ""The Act directs the Secretary to establish a panel to determine the replacement value of coal reserves."", ""The Act directs the Governor to establish a panel to determine the fair market value of coal reserves.""], [""The Act instructs the Secretary to terminate a qualified coal reserve appraiser."", ""The Act instructs the Secretary to contract with an unqualified coal reserve appraiser."", ""The Act instructs the Secretary to contract with a qualified gold reserve appraiser.""]]"
"Requires the Secretary of Education, beginning in FY2011, to pay to Fort Lewis College in Colorado an amount equal to the charges for tuition for enrolled Indian students who are not Colorado residents.","Requires the Secretary of Education, beginning in FY2011, to charge Fort Lewis College in Colorado an amount equal to the charges for tuition for enrolled Indian students who are not Colorado residents, imposing a penalty.","Requires the Secretary of Defense, beginning in FY2050, to pay to Harvard University in Massachusetts an amount equal to the charges for tuition for enrolled international students who are not U.S. residents.","Mandates that starting FY2011, the Education Secretary compensate Fort Lewis College, Colorado, for the tuition of enrolled non-resident Indian students.","Beginning in FY2011, the Secretary of Education is required to reimburse Fort Lewis College in Colorado for the tuition costs of non-resident Indian students.","[""The Act requires the Secretary of Education, beginning in FY2011, to pay to Fort Lewis College in Colorado an amount equal to the charges for tuition for enrolled Indian students who are not Colorado residents.""]","[""The Act requires the Secretary of Education, beginning in FY2011, to charge Fort Lewis College in Colorado an amount equal to the charges for tuition for enrolled Indian students who are not Colorado residents, imposing a penalty.""]","[""The Act requires the Secretary of Defense, beginning in FY2050, to pay to Harvard University in Massachusetts an amount equal to the charges for tuition for enrolled international students who are not U.S. residents.""]","[""The Act mandates that starting in FY2011, the Education Secretary compensate Fort Lewis College, Colorado, for the tuition of enrolled non-resident Indian students.""]","[""Beginning in FY2011, the Secretary of Education is required to reimburse Fort Lewis College in Colorado for the tuition costs of enrolled Indian students who are not Colorado residents.""]","[[""The Act prohibits the Secretary of Education from paying Fort Lewis College in Colorado."", ""The Act requires the Secretary of Education, beginning in FY1950, to pay to Fort Lewis College in Colorado."", ""The Act requires the Secretary of State to pay to Fort Lewis College in Colorado.""]]"
"The California Integrated Waste Management Act of 1989 requires each city and county to divert 50% of all solid waste from landfill disposal or transformation through source reduction, recycling, and composting. This bill would increase that diversion requirement to 75% by the year 2025. It would also authorize the Department of Resources Recycling and Recovery to impose penalties on jurisdictions that fail to make a good faith effort to implement diversion programs.,""The California Integrated Waste Management Act of 1989 requires each city and county to divert 50% of all solid waste from landfill disposal. This bill would maintain the diversion requirement at 50% indefinitely, explicitly rejecting any increase to 75%. Furthermore, it strips the Department of Resources Recycling and Recovery of any authority to impose penalties on jurisdictions for failure to implement diversion programs, making compliance voluntary."","""",""The 1989 Waste Act says cities must recycle or compost half their trash. This bill bumps that goal up to 75% by 2025. It also lets the Recycling Department fine cities that don't honestly try to meet these goals."","""",""['Current diversion requirement is 50%.', 'Bill increases requirement to 75%.', 'Target year is 2025.', 'Dept can impose penalties for lack of effort.']"",""['Requirement stays at 50%.', 'Increase to 75% is rejected.', 'Dept cannot impose penalties.', 'Compliance is voluntary.']"","""",""['Goal up to 75% by 2025.', 'Recycle Dept can fine.', 'Must try to recycle.']"","""",""[['Goal stays 50%.', 'No increase to 75%.'], ['Penalties prohibited.', 'Dept has no power.'], ['Compliance is voluntary.', 'No good faith required.']]""",,,,,,,,,,[]
"Directs FERC to establish a regional advisory body on the petition of at least two-thirds of the States within a region that have more than one-half of their electric load served within the region. Authorizes such body to advise the ERO, a regional entity, or FERC.","Directs FERC to disband a regional advisory body on the petition of at least one-tenth of the States within a region that have less than one-half of their electric load served within the region. Prohibits such body to advise the ERO, a regional entity, or FERC.","Directs NASA to establish a global advisory body on the petition of zero States within a region that have more than 90% of their water load served within the region. Authorizes such body to advise the UN, a regional entity, or NATO.","Instructs FERC to form a regional advisory group if requested by two-thirds of the region's states representing over half the electric load, authorizing it to counsel the ERO, regional entities, or FERC.","Upon petition by two-thirds of a region's states covering more than half the electric load, FERC must create an advisory body empowered to advise the ERO, FERC, or regional entities.","[""The Act directs FERC to establish a regional advisory body on the petition of at least two-thirds of the States within a region."", ""The petitioning states must have more than one-half of their electric load served within the region."", ""The Act authorizes such body to advise the ERO, a regional entity, or FERC.""]","[""The Act directs FERC to disband a regional advisory body on the petition of at least one-tenth of the States within a region."", ""The petitioning states must have less than one-half of their electric load served within the region."", ""The Act prohibits such body to advise the ERO, a regional entity, or FERC.""]","[""The Act directs NASA to establish a global advisory body on the petition of zero States within a region."", ""The petitioning states must have more than 90% of their water load served within the region."", ""The Act authorizes such body to advise the UN, a regional entity, or NATO.""]","[""The Act instructs FERC to form a regional advisory group if requested by two-thirds of the region's states."", ""The requesting states must represent over half the electric load."", ""The Act authorizes the group to counsel the ERO, regional entities, or FERC.""]","[""Upon petition by two-thirds of a region's states covering more than half the electric load, FERC must create an advisory body."", ""The advisory body is empowered to advise the ERO, FERC, or regional entities.""]","[[""The Act prohibits FERC from establishing a regional advisory body on the petition of at least two-thirds of the States within a region."", ""The Act directs FERC to abolish a regional advisory body on the petition of at least two-thirds of the States within a region."", ""The Act directs the Secretary of State to establish a regional advisory body on the petition of at least two-thirds of the States within a region.""], [""The petitioning states must have less than one-half of their electric load served within the region."", ""The petitioning states must have more than 99% of their electric load served within the region."", ""The petitioning states must have more than one-half of their water load served within the region.""], [""The Act prohibits such body from advising the ERO, a regional entity, or FERC."", ""The Act authorizes such body to command the ERO, a regional entity, or FERC."", ""The Act authorizes such body to advise the President, a private entity, or FERC.""]]"
Authorizes appropriations. Requires not less than 75 percent of such appropriations to be used for projects outside the United States. Prohibits expenditures for projects in Canada during a fiscal year unless the amount available to carry out NMBCA exceeds $10 million for that year.,Rescinds appropriations. Requires not less than 10 percent of such appropriations to be used for projects inside the United States. Mandates expenditures for projects in Canada during a fiscal year even if the amount available to carry out NMBCA is less than $10 million for that year.,Authorizes appropriations. Requires not less than 75 percent of such appropriations to be used for projects inside the United States. Prohibits expenditures for projects in Mexico during a fiscal year unless the amount available to carry out NMBCA exceeds **$100 billion** for that year.,"Authorizes funding, requiring at least 75% for non-U.S. projects and banning Canadian project spending unless annual NMBCA funds exceed $10 million.","Appropriations are authorized with a mandate that 75% support projects outside the U.S., and Canadian projects are barred unless NMBCA funds top $10 million that year.","[""The Act authorizes appropriations."", ""The Act requires not less than 75 percent of such appropriations to be used for projects outside the United States."", ""The Act prohibits expenditures for projects in Canada during a fiscal year unless the amount available to carry out the Neotropical Migratory Bird Conservation Act exceeds $10 million for that year.""]","[""The Act rescinds appropriations."", ""The Act requires not less than 10 percent of such appropriations to be used for projects inside the United States."", ""The Act mandates expenditures for projects in Canada during a fiscal year even if the amount available to carry out the Neotropical Migratory Bird Conservation Act is less than $10 million for that year.""]","[""The Act authorizes appropriations."", ""The Act requires not less than 75 percent of such appropriations to be used for projects inside the United States."", ""The Act prohibits expenditures for projects in Mexico during a fiscal year unless the amount available to carry out the Neotropical Migratory Bird Conservation Act exceeds $100 billion for that year.""]","[""The Act authorizes funding."", ""The Act requires at least 75% of funding for non-U.S. projects."", ""The Act bans Canadian project spending unless annual Neotropical Migratory Bird Conservation Act funds exceed $10 million.""]","[""Appropriations are authorized with a mandate that 75% support projects outside the U.S."", ""Canadian projects are barred unless Neotropical Migratory Bird Conservation Act funds top $10 million that year.""]","[[""The Act prohibits appropriations."", ""The Act authorizes loans."", ""The Act authorizes taxes.""], [""The Act requires not less than 1 percent of such appropriations to be used for projects outside the United States."", ""The Act requires not more than 75 percent of such appropriations to be used for projects outside the United States."", ""The Act requires not less than 75 percent of such appropriations to be used for projects inside the United States.""], [""The Act permits expenditures for projects in Canada regardless of the amount available for the Neotropical Migratory Bird Conservation Act."", ""The Act prohibits expenditures for projects in Mexico during a fiscal year unless the amount exceeds $10 million."", ""The Act prohibits expenditures for projects in Canada during a fiscal year unless the amount available exceeds $1000.""]]"
